Occupation,Gender,Average weekly ordinary time cash earnings,Average weekly total cash earnings,Average weekly ordinary time hours paid for,Average weekly total hours paid for,Average hourly ordinary time cash earnings,Average hourly total cash earnings,Year
121 Farmers and farm managers,Persons,1513.3,1513.3,38.4,38.4,39.2,39.2,2023
"131 Advertising, public relations and sales managers",Females,2493.2,2502.1,37.9,38,65.8,65.9,2023
"131 Advertising, public relations and sales managers",Males,2829.9,2829.9,38.2,38.2,73.9,73.9,2023
"131 Advertising, public relations and sales managers",Persons,2705.7,2709,38.1,38.1,70.9,71,2023
132 Business administration managers,Females,2961.2,2961.4,37.8,37.8,78.2,78.2,2023
132 Business administration managers,Males,3322.1,3337.6,37.8,37.9,87.5,87.7,2023
132 Business administration managers,Persons,3119.9,3126.8,37.8,37.9,82.3,82.4,2023
"133 Construction, distribution and production managers",Females,2756.9,2756.9,38.6,38.6,71.5,71.5,2023
"133 Construction, distribution and production managers",Males,3200,3239.4,38.7,39.2,83.1,83.2,2023
"133 Construction, distribution and production managers",Persons,3108.6,3139.9,38.6,39,80.7,80.8,2023
"134 Education, health and welfare services managers",Females,2001.2,2009.9,37.6,37.7,53.4,53.5,2023
"134 Education, health and welfare services managers",Males,2548.4,2548.9,37.4,37.4,68.3,68.3,2023
"134 Education, health and welfare services managers",Persons,2121.8,2128.7,37.5,37.6,56.7,56.7,2023
135 ICT managers,Females,3423.1,3423.1,38.2,38.2,89.6,89.6,2023
135 ICT managers,Males,3626.6,3626.6,38.4,38.4,94.3,94.3,2023
135 ICT managers,Persons,3583.9,3583.9,38.4,38.4,93.3,93.3,2023
139 Miscellaneous specialist managers,Females,2901,2929.8,38,38.2,76.4,76.6,2023
139 Miscellaneous specialist managers,Males,3130.3,3166.1,38.1,38.5,82.1,82.3,2023
139 Miscellaneous specialist managers,Persons,3034.7,3067.6,38.1,38.4,79.8,80,2023
141 Accommodation and hospitality managers,Females,1332,1342.3,36.3,36.5,36.7,36.7,2023
141 Accommodation and hospitality managers,Males,1569.1,1569.9,38.8,38.8,40.6,40.6,2023
141 Accommodation and hospitality managers,Persons,1463.3,1468.3,37.7,37.8,38.8,38.9,2023
142 Retail managers,Females,1401,1424.1,38,38.4,36.9,37.1,2023
142 Retail managers,Males,1895.2,1932,38.3,38.9,49.6,49.8,2023
142 Retail managers,Persons,1577.1,1605.1,38.1,38.6,41.4,41.6,2023
"149 Miscellaneous hospitality, retail and service managers",Females,1888,1900.9,37.9,38,49.9,50,2023
"149 Miscellaneous hospitality, retail and service managers",Males,2240,2266.3,38.5,38.8,58.2,58.4,2023
"149 Miscellaneous hospitality, retail and service managers",Persons,2102.6,2123.6,38.3,38.5,55,55.1,2023
211 Arts professionals,Females,1601.7,1601.7,35,35,52.9,52.9,2023
211 Arts professionals,Males,1639.6,1641.2,37.1,37.1,45.9,45.9,2023
211 Arts professionals,Persons,1634,1635.4,36.8,36.8,47,47,2023
212 Media professionals,Females,1988.5,1991.3,38,38,52.5,52.5,2023
212 Media professionals,Males,2100.6,2129.7,38.4,38.9,54.8,55,2023
212 Media professionals,Persons,2046.2,2062.5,38.2,38.5,53.7,53.8,2023
"221 Accountants, auditors and company secretaries",Females,1896.3,1905.9,37.6,37.8,50.5,50.5,2023
"221 Accountants, auditors and company secretaries",Males,2058.2,2070.6,37.9,38.1,54.4,54.4,2023
"221 Accountants, auditors and company secretaries",Persons,1967.6,1978.4,37.7,37.9,52.2,52.3,2023
"222 Financial brokers and dealers, and investment advisers",Females,2443.7,2443.7,38.1,38.1,64,64,2023
"222 Financial brokers and dealers, and investment advisers",Males,2669.3,2669.4,38.1,38.1,70.2,70.2,2023
"222 Financial brokers and dealers, and investment advisers",Persons,2572.4,2572.5,38.1,38.1,67.5,67.5,2023
