ANZSCO Level,NFD Indicator 5,Code,ANZSCO Title,COVID Adjusted 3,Skill Level 4,Trend Data for Aug 2025 1,Qtr Change to Aug 2025 1,Qtr Change to Aug 2025 1,1 Year  Change to Aug 2025 1,1 Year  Change to Aug 2025 1,5 Year  Change to Aug 2025 1,5 Year  Change to Aug 2025 1,10 Year  Change to Aug 2025 1,10 Year  Change to Aug 2025 1,Share of National Emp 1,Share of Level 1 Group 1,Female Share 2024 4 Quarter Avg 2,Part Time Share 2024 4 Quarter Avg 2,Female Part Time Share 2024 4 Quarter Avg 2,Male Part Time Share 2024 4 Quarter Avg 2,Median Age 2024 2,Median Female Age 2024 2,Median Male Age 2024 2
1,N,1,Managers,-,-,1866.72099941456,9.55529661033188,0.514509642080071,26.0381955472483,1.41459438272262,259.132227402254,16.1193106044081,342.445106559936,22.466084267633,12.7377348581961,-,41,14,21,9,45,43,46
2,Y,10,Managers nfd,-,-,5.63201034060894,0.296963202425737,5.56627138868852,1.21878385083524,27.6166168597827,1.58176065994326,39.0534111389226,-35.2266359093436,-86.2158665116922,<0.1,0.298971076387686,-,-,-,-,-,-,-
3,Y,100,Managers nfd,-,-,5.63201034060894,0.296963202425737,5.56627138868852,1.21878385083524,27.6166168597827,1.58176065994326,39.0534111389226,-35.2266359093436,-86.2158665116922,<0.1,0.296306631367034,-,-,-,-,-,-,-
4,Y,1000,Managers nfd,-,1,5.63201034060894,0.296963202425737,5.56627138868852,1.21878385083524,27.6166168597827,1.58176065994326,39.0534111389226,-35.2266359093436,-86.2158665116922,<0.1,0.295455611830631,-,-,-,-,-,-,-
2,N,11,"Chief Executives, General Managers and Legislators",-,-,130.797606218862,0.314260071625085,0.240843050783258,1.54486617142175,1.19522895286763,24.4193737081985,22.9552354197562,21.4639078187221,19.6315574546544,0.890325034831857,6.94329355864747,34,13,19,10,49,48,50
3,N,111,"Chief Executives, General Managers and Legislators",-,-,130.797606218862,0.314260071625085,0.240843050783258,1.54486617142175,1.19522895286763,24.4193737081985,22.9552354197562,21.4639078187221,19.6315574546544,0.889461965851077,6.8814145830195,34,13,19,10,49,48,50
4,Y,1110,"Chief Executives, General Managers and Legislators nfd",-,1,0.23648962689139,0.0210014686918884,9.74599665585569,0.0816108298580211,52.6933521058005,0.13648962689139,136.48962689139,0.13648962689139,136.48962689139,<0.1,<0.1,-,-,-,-,-,-,-
4,N,1111,Chief Executives and Managing Directors,-,1,61.2904938858875,0.832102638164805,1.37632282466025,3.43363773153142,5.93471190755825,15.8949742902202,35.0144120648797,2.94967516973923,5.05593722311405,0.417555376624786,3.21530311119751,30,14,22,11,51,51,51
4,N,1112,General Managers,-,1,67.5193078641553,-0.410403766328955,-0.604159441396452,-1.48057216794427,-2.14576049589578,9.20492123804468,15.7849919558669,18.2466342618408,37.0319548906794,0.459990583158832,3.54206707888037,38,11,16,8,48,46,49
4,N,1113,Legislators,-,1,2.96659199431543,-0.00783704830988574,-0.2634807621085,-0.0231760302889894,-0.775178211094014,0.251410767059792,9.25944701355734,0.426656565625936,16.7979296168987,<0.1,0.155627600044064,48,31,-,-,64,68,64
